N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
143,영원무역,"45,700",600,+1.33%,500,"20,250","44,311",28.79,"43,920",3.23,26.80,
144,KODEX 200TR,"11,540",30,+0.26%,0,"20,132","174,450",0.00,"47,823",N/A,N/A,
145,TIGER 차이나전기차SOLACTIVE,"7,740",45,-0.58%,0,"19,740","255,040",0.56,"1,822,865",N/A,N/A,
146,OCI홀딩스,"96,500",400,+0.42%,"5,000","19,119","19,813",19.59,"40,684",1.86,25.21,
147,KODEX 24-12 은행채(AA+이상)액티브,"10,100",0,0.00%,0,"19,051","188,620",0.00,"44,173",N/A,N/A,
148,한화,"25,350",150,-0.59%,"5,000","19,002","74,959",13.60,"94,877",4.32,24.47,
149,효성중공업,"203,500","11,000",-5.13%,"5,000","18,975","9,325",11.36,"65,478",21.55,1.07,
150,동서,"18,830",430,+2.34%,500,"18,774","99,700",3.64,"68,563",9.47,11.33,
151,한올바이오파마,"35,950",750,+2.13%,500,"18,780","52,241",6.88,"342,933",309.91,0.15,
152,대우건설,"4,515",110,-2.38%,"5,000","18,765","415,623",12.70,"672,658",3.64,14.55,
153,KCC,"210,000",0,0.00%,"5,000","18,662","8,886",12.23,"21,967",6.86,0.67,
154,이수페타시스,"28,200",750,-2.59%,"1,000","17,835","63,246",8.91,"1,044,732",28.98,58.92,
155,현대엘리베이,"45,100","1,350",+3.09%,"5,000","17,631","39,092",25.71,"76,887",5.07,6.89,
156,삼아알미늄,"118,800","4,300",-3.49%,500,"17,478","14,712",39.64,"57,712",219.19,13.24,
157,효성첨단소재,"383,000","8,000",-2.05%,"5,000","17,158","4,480",6.95,"10,433",34.25,19.11,
158,신세계,"173,400","3,100",+1.82%,"5,000","17,072","9,845",14.84,"35,411",4.59,10.34,
159,HL만도,"35,250",150,+0.43%,"1,000","16,552","46,957",25.31,"167,694",463.82,4.78,
160,현대위아,"60,600","1,300",+2.19%,"5,000","16,480","27,195",12.81,"62,761",-13.90,1.99,
161,효성티앤씨,"376,500","6,000",-1.57%,"5,000","16,294","4,328",10.01,"3,702",22.10,0.88,
162,TIGER 미국테크TOP10 INDXX,"14,395",105,-0.72%,0,"16,130","112,050",0.07,"458,070",N/A,N/A,
163,삼양식품,"212,000","3,500",-1.62%,"5,000","15,970","7,533",11.78,"29,842",16.43,18.92,
164,하이트진로,"22,750",300,+1.34%,"5,000","15,955","70,134",10.04,"107,510",93.62,7.72,
165,한전KPS,"34,850",500,+1.46%,200,"15,682","45,000",9.55,"78,407",10.64,8.61,
